epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3894.62,2.1176,4.9444,1.55582,0.44811,0.04916,0.02179,0.00634,3.10086,10.2197,2.03856,2.8715e-05,2.8715e-05,2.8715e-05
88,3938.95,2.09521,4.90177,1.54344,0.449,0.03533,0.02,0.00596,3.11763,10.1555,2.0255,2.84675e-05,2.84675e-05,2.84675e-05
89,3983.19,2.11038,4.9635,1.55411,0.59973,0.02765,0.02373,0.0066,3.12844,9.96768,2.04364,2.822e-05,2.822e-05,2.822e-05
90,4028.01,2.13287,4.94273,1.56306,0.59895,0.03994,0.02151,0.00659,3.09162,9.94866,2.01482,2.79725e-05,2.79725e-05,2.79725e-05
91,4073.68,2.09589,4.98602,1.54761,0.59601,0.03226,0.02191,0.00596,3.06187,10.0851,2.01057,2.7725e-05,2.7725e-05,2.7725e-05
92,4118.54,2.09522,4.82009,1.5492,0.45244,0.0553,0.02499,0.00695,3.0704,9.67615,2.01839,2.74775e-05,2.74775e-05,2.74775e-05
93,4163.02,2.10382,4.92428,1.55078,0.44911,0.04455,0.02139,0.00643,3.06117,10.2313,1.99899,2.723e-05,2.723e-05,2.723e-05
94,4207.25,2.07636,4.87431,1.53054,0.45057,0.05593,0.02554,0.00679,3.07591,9.90253,2.00333,2.69825e-05,2.69825e-05,2.69825e-05
95,4251.43,2.08224,4.88996,1.54805,0.45245,0.05376,0.02723,0.00768,3.14526,10.1484,2.0485,2.6735e-05,2.6735e-05,2.6735e-05
96,4296.1,2.10683,4.83475,1.54748,0.60338,0.03629,0.02468,0.00712,3.1275,10.0349,2.02407,2.64875e-05,2.64875e-05,2.64875e-05
97,4340.55,2.07284,4.85147,1.5469,0.59663,0.05991,0.02517,0.00757,3.06058,9.68562,2.01324,2.624e-05,2.624e-05,2.624e-05
98,4385.21,2.12151,4.82158,1.55769,0.45041,0.04147,0.03099,0.00899,3.16385,10.2904,2.06511,2.59925e-05,2.59925e-05,2.59925e-05
99,4430.11,2.06257,4.81596,1.53766,0.4549,0.05223,0.02655,0.00768,3.13718,9.8883,2.0541,2.5745e-05,2.5745e-05,2.5745e-05
100,4474.5,2.06697,4.74673,1.53482,0.44844,0.04147,0.01764,0.00554,3.12218,10.106,2.04285,2.54975e-05,2.54975e-05,2.54975e-05
101,4520.08,2.04796,4.7241,1.52392,0.59465,0.0553,0.0268,0.00758,3.16092,9.9628,2.06058,2.525e-05,2.525e-05,2.525e-05
102,4565.05,2.06639,4.67696,1.53444,0.59481,0.04147,0.02743,0.00754,3.13772,10.1915,2.05245,2.50025e-05,2.50025e-05,2.50025e-05
103,4609.82,2.04731,4.7952,1.528,0.45396,0.04455,0.02698,0.0082,3.1335,10.0387,2.04865,2.4755e-05,2.4755e-05,2.4755e-05
104,4654.38,2.0824,4.70112,1.53451,0.45026,0.04762,0.02674,0.00761,3.15368,10.0916,2.04758,2.45075e-05,2.45075e-05,2.45075e-05
105,4699.01,2.06254,4.73972,1.53421,0.45418,0.05223,0.02918,0.0079,3.12518,10.0067,2.04718,2.426e-05,2.426e-05,2.426e-05
106,4743.61,2.06759,4.56411,1.52394,0.45527,0.0553,0.02728,0.00716,3.14495,10.0143,2.05245,2.40125e-05,2.40125e-05,2.40125e-05
107,4788.22,2.06258,4.60644,1.5384,0.45695,0.05376,0.03,0.00803,3.14519,10.0424,2.0447,2.3765e-05,2.3765e-05,2.3765e-05
108,4833.63,2.04976,4.74302,1.51856,0.45485,0.04762,0.02753,0.00834,3.15947,10.1688,2.05391,2.35175e-05,2.35175e-05,2.35175e-05
109,4878.49,2.04646,4.65251,1.5243,0.61664,0.03533,0.0297,0.00876,3.13978,9.88069,2.04708,2.327e-05,2.327e-05,2.327e-05
110,4923.91,2.041,4.61964,1.5218,0.45722,0.05376,0.03179,0.00845,3.14312,10.0197,2.05713,2.30225e-05,2.30225e-05,2.30225e-05
111,4969.97,2.01989,4.60794,1.51552,0.60829,0.03379,0.02698,0.00776,3.16663,9.9548,2.07274,2.2775e-05,2.2775e-05,2.2775e-05
112,5017.79,2.01588,4.512,1.51322,0.45583,0.04455,0.02468,0.00702,3.19122,10.4168,2.07976,2.25275e-05,2.25275e-05,2.25275e-05
113,50.9854,2.01609,4.49516,1.51935,0.45226,0.04608,0.02515,0.00757,3.15317,9.93238,2.03835,2.228e-05,2.228e-05,2.228e-05
114,97.5764,2.00301,4.4553,1.52183,0.45568,0.03994,0.02948,0.00864,3.19457,10.1769,2.06747,2.20325e-05,2.20325e-05,2.20325e-05
115,141.349,2.01454,4.50031,1.52279,0.45463,0.05223,0.02905,0.00816,3.19186,10.0188,2.07944,2.1785e-05,2.1785e-05,2.1785e-05
116,184.701,2.00273,4.48741,1.48969,0.59702,0.05223,0.02719,0.00873,3.15615,9.78934,2.05857,2.15375e-05,2.15375e-05,2.15375e-05
117,230.959,1.98628,4.3757,1.49623,0.5967,0.04916,0.02772,0.00856,3.15991,9.91623,2.05396,2.129e-05,2.129e-05,2.129e-05
118,274.908,1.98702,4.30461,1.48615,0.45305,0.04828,0.02524,0.00816,3.164,9.94206,2.07514,2.10425e-05,2.10425e-05,2.10425e-05
119,318.263,1.99926,4.36553,1.49651,0.45516,0.04883,0.02802,0.00796,3.19621,10.0441,2.08286,2.0795e-05,2.0795e-05,2.0795e-05
120,361.905,2.00286,4.35684,1.49514,0.45562,0.04916,0.02677,0.00781,3.20232,10.2734,2.08772,2.05475e-05,2.05475e-05,2.05475e-05
121,405.527,1.9808,4.40791,1.48717,0.59858,0.05223,0.02564,0.0077,3.16432,9.82814,2.07356,2.03e-05,2.03e-05,2.03e-05
122,450.811,2.00281,4.38644,1.49375,0.59638,0.04762,0.02726,0.00826,3.19532,9.98347,2.08267,2.00525e-05,2.00525e-05,2.00525e-05
123,494.565,1.95295,4.34139,1.47907,0.45398,0.04608,0.02761,0.00824,3.20069,10.0152,2.08003,1.9805e-05,1.9805e-05,1.9805e-05
124,539.574,1.98804,4.37211,1.51018,0.46644,0.05778,0.02861,0.00826,3.21715,10.1415,2.08825,1.95575e-05,1.95575e-05,1.95575e-05
125,583.761,1.964,4.32401,1.49794,0.46834,0.06803,0.02796,0.0078,3.21313,10.1044,2.10343,1.931e-05,1.931e-05,1.931e-05
126,627.28,1.96187,4.26887,1.49805,0.45704,0.04731,0.02979,0.0089,3.20653,10.1809,2.09468,1.90625e-05,1.90625e-05,1.90625e-05
127,672.348,1.95988,4.30187,1.49644,0.45863,0.04455,0.02857,0.00869,3.19726,10.3017,2.08928,1.8815e-05,1.8815e-05,1.8815e-05
128,715.58,1.93818,4.33208,1.47917,0.47282,0.06956,0.02678,0.00801,3.18158,10.2119,2.09746,1.85675e-05,1.85675e-05,1.85675e-05
129,758.967,1.94152,4.26187,1.48355,0.46999,0.06188,0.02598,0.00809,3.18512,10.2542,2.09968,1.832e-05,1.832e-05,1.832e-05
130,803.048,1.94198,4.20045,1.48363,0.45317,0.04154,0.02615,0.00805,3.18631,10.3624,2.09041,1.80725e-05,1.80725e-05,1.80725e-05
131,846.779,1.9305,4.19344,1.49951,0.46658,0.05188,0.02854,0.00842,3.19804,10.5354,2.09659,1.7825e-05,1.7825e-05,1.7825e-05
132,892.266,1.92514,4.2031,1.48956,0.45488,0.04916,0.02879,0.0089,3.15676,10.0454,2.07317,1.75775e-05,1.75775e-05,1.75775e-05
133,935.857,1.95165,4.28989,1.49251,0.61171,0.05951,0.0284,0.0085,3.21112,10.227,2.08939,1.733e-05,1.733e-05,1.733e-05
134,980.979,1.95412,4.31927,1.50664,0.60947,0.06342,0.02847,0.00873,3.18799,10.2968,2.07601,1.70825e-05,1.70825e-05,1.70825e-05
135,1024.98,1.90658,4.25861,1.48472,0.45657,0.04762,0.03146,0.0091,3.19767,10.4605,2.08921,1.6835e-05,1.6835e-05,1.6835e-05
136,1069.58,1.93102,4.21199,1.47979,0.4591,0.05223,0.03765,0.01134,3.19094,10.1879,2.08865,1.65875e-05,1.65875e-05,1.65875e-05
137,1118.71,1.92736,4.16722,1.46759,0.461,0.05376,0.03493,0.01026,3.18708,10.3021,2.08251,1.634e-05,1.634e-05,1.634e-05
138,1163.22,1.91456,4.18888,1.47841,0.60254,0.05223,0.02893,0.00871,3.16832,10.2358,2.05911,1.60925e-05,1.60925e-05,1.60925e-05
139,1207.06,1.92986,4.14066,1.4909,0.60428,0.05375,0.02804,0.00908,3.19294,10.4322,2.08041,1.5845e-05,1.5845e-05,1.5845e-05
140,1250.14,1.90045,4.10572,1.45404,0.61418,0.06803,0.02666,0.00857,3.1747,10.2357,2.07599,1.55975e-05,1.55975e-05,1.55975e-05
141,1295.31,1.92885,4.07143,1.46475,0.47496,0.0651,0.02759,0.00837,3.16611,10.5287,2.06843,1.535e-05,1.535e-05,1.535e-05
142,1339.3,1.90232,4.07894,1.46956,0.45615,0.04916,0.02901,0.00836,3.16463,10.2739,2.07026,1.51025e-05,1.51025e-05,1.51025e-05
143,1382.98,1.88911,4.14862,1.45703,0.45708,0.04762,0.02804,0.00889,3.15661,10.2436,2.06271,1.4855e-05,1.4855e-05,1.4855e-05
144,1426.72,1.91661,4.12111,1.46689,0.45483,0.04608,0.02964,0.00824,3.19003,10.3822,2.09872,1.46075e-05,1.46075e-05,1.46075e-05
145,1470.88,1.90001,4.04696,1.48102,0.61209,0.06803,0.03036,0.00897,3.17756,10.5173,2.07296,1.436e-05,1.436e-05,1.436e-05
146,1517.65,1.89275,4.05753,1.45929,0.4657,0.06411,0.02719,0.00857,3.14846,10.4759,2.06365,1.41125e-05,1.41125e-05,1.41125e-05
147,1561.59,1.87767,4.0404,1.45289,0.45547,0.04455,0.02716,0.00871,3.13412,10.3707,2.06489,1.3865e-05,1.3865e-05,1.3865e-05
148,1605.27,1.86268,4.0613,1.44671,0.45274,0.04608,0.02689,0.00793,3.17266,10.5478,2.07419,1.36175e-05,1.36175e-05,1.36175e-05
149,1649.01,1.88613,3.98979,1.44997,0.45534,0.03994,0.02646,0.00817,3.16455,10.8086,2.06317,1.337e-05,1.337e-05,1.337e-05
150,1693.02,1.91044,4.04241,1.47318,0.45588,0.04791,0.02801,0.00829,3.17941,10.5645,2.07494,1.31225e-05,1.31225e-05,1.31225e-05
151,1740.27,1.87092,4.08985,1.45314,0.45511,0.04608,0.02646,0.00788,3.19752,10.5582,2.09046,1.2875e-05,1.2875e-05,1.2875e-05
152,1784.07,1.89498,4.05195,1.46043,0.45875,0.04916,0.02676,0.00778,3.21436,10.4563,2.11346,1.26275e-05,1.26275e-05,1.26275e-05
153,1827.73,1.90348,4.06797,1.45822,0.60014,0.04762,0.02807,0.00838,3.19331,10.4747,2.09845,1.238e-05,1.238e-05,1.238e-05
154,1871.5,1.86939,3.99429,1.44899,0.59961,0.05069,0.03102,0.00922,3.19506,10.4067,2.10112,1.21325e-05,1.21325e-05,1.21325e-05
155,1915.64,1.84316,3.92554,1.43834,0.59993,0.04916,0.03053,0.00914,3.22223,10.545,2.11677,1.1885e-05,1.1885e-05,1.1885e-05
156,1961.39,1.85106,3.95482,1.45041,0.45701,0.04916,0.03202,0.00933,3.2444,10.4634,2.12199,1.16375e-05,1.16375e-05,1.16375e-05
157,2005.39,1.85108,3.97769,1.44405,0.60075,0.04762,0.02914,0.00902,3.22114,10.5656,2.1033,1.139e-05,1.139e-05,1.139e-05
158,2050.91,1.8263,3.93308,1.43232,0.45615,0.04608,0.02618,0.00795,3.20802,10.5918,2.09715,1.11425e-05,1.11425e-05,1.11425e-05
159,2094.77,1.83851,3.90175,1.43219,0.59714,0.04301,0.02491,0.00797,3.21234,10.7439,2.10948,1.0895e-05,1.0895e-05,1.0895e-05
160,2138.98,1.84964,3.86759,1.44029,0.59672,0.0384,0.02416,0.00768,3.22125,10.7822,2.10523,1.06475e-05,1.06475e-05,1.06475e-05
161,2184.95,1.84395,3.95522,1.43074,0.45161,0.03633,0.02392,0.00765,3.16735,10.7432,2.08182,1.04e-05,1.04e-05,1.04e-05
162,2229.34,1.85302,3.8727,1.43809,0.45179,0.04147,0.02675,0.00801,3.19004,10.7334,2.10554,1.01525e-05,1.01525e-05,1.01525e-05
163,2274.89,1.88321,3.97912,1.44931,0.45505,0.04301,0.02664,0.00874,3.19714,10.6637,2.10005,9.905e-06,9.905e-06,9.905e-06
164,2319.08,1.87467,3.95904,1.44366,0.45716,0.05303,0.02775,0.00854,3.19406,10.5673,2.09694,9.6575e-06,9.6575e-06,9.6575e-06
165,2362.9,1.82181,3.91412,1.43779,0.59687,0.04608,0.02558,0.008,3.19091,10.6707,2.10241,9.41e-06,9.41e-06,9.41e-06
166,2409.04,1.84332,3.92846,1.43556,0.59704,0.04147,0.02556,0.0079,3.189,10.828,2.10017,9.1625e-06,9.1625e-06,9.1625e-06
